run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9.94,2555.12,1606.896,3440.68775510204,1606.502,6324.10986772487,1604.881,313882.213706433,0.99972069108778,0.000161047273091118,1.00466305831551,0,1,0,1,0,1,0,1606.32,50.08,90.0255555555556,774.195545454546,1.00046443991003,1,0,0,0,0.0575510204081633,2351.54814693878,2290.21938367347,2019.94249897959,8.88490887590983e-05,0.000863676726622333,0,0,0
4,10,734.256734693878,2221.204,5155.69815918367,2219.136,17441.7724537163,2222.433,74015.4774265276,1.00235245027299,0.000141040420411801,0.997245362648868,0,1,0,1,0,1,0,2223.22,68.102,138.407555555556,587.051828282828,1.00234578163543,1,0,0,0,0,739.41304489796,657.496636734696,117.403470408164,6.18898709427427e-05,0.000305168911585585,0,0,0
5,10,497.796326530612,2614.06,7303.79843265306,2611.126,20737.4708049887,2609.5464,55409.1354277023,1.00158853370885,0.000107046187078381,1.00211549515293,0,1,0,1,0,1,0,2615.86,65.156,135.296666666667,496.235963636364,1.00398826542122,1,0,0,0,0,433.80775510204,397.305228571428,98.6622888163271,4.64477635439162e-05,0.000165730510643233,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.6,226910.145306122,414.608,2827.6074122449,417.866,18861.8071726379,477.8794,154046404.882963,0.539550440548277,0.228828433661843,0.432210231532131,0.251428571428571,0.56,0,0.568,0.00142222222222222,0.6282,0.00241388213614188,412.76,26.856,81.0006666666667,6028.00007474747,0.522866468178346,0.56,0,0.00533333333333333,0.0155616161616162,7.79591836734694,226838.091363265,226953.04024898,225759.722430245,0.238030712764206,0.192625445723398,0.251428571428571,0.245485714285714,0.222610979591837
10,10,706.115918367347,2422.924,8240.03387755102,2422.688,48128.8014411691,2420.0782,116532.712661693,1.00053242061102,0.000169182589644223,1.00094538842967,0,1,0,1,0,1,0,2423.08,80.26,204.5,672.876503030303,1.00025191238066,1,0,0,0,0,602.830840816327,457.159853061224,135.401170163266,5.43474812596936e-05,0.000371234003863818,0,0,0
